Valsts;janvāris;februāris;marts;aprīlis;maijs;jūnijs;jūlijs;augusts;septembris;oktobris;novembris;decembris;KOPĀ;gads
LV Vidzeme;112;82;493;388;1012;725;1062;1214;1275;1192;393;118;8066;2014
LV Latgale;0;6;27;49;275;79;97;230;244;385;21;3;1416;2014
LV Zemgale;45;4;10;43;257;155;207;166;148;305;43;6;1389;2014
LV Kurzeme;6;0;6;0;185;85;183;136;102;185;22;9;919;2014
LV Cēsis;206;233;62;229;265;221;144;303;172;95;332;159;2421;2014
LV Rīga;106;174;315;490;1920;1045;1431;2132;2040;1313;476;194;11636;2014
Kopā Latvija;475;499;913;1199;3914;2310;3124;4181;3981;3475;1287;489;25847;2014
Igaunija;10;24;109;95;339;461;842;677;135;111;56;28;2887;2014
Lietuva;118;20;3;91;201;250;377;356;118;309;44;42;1929;2014
Krievija;1363;51;230;166;658;798;747;939;322;159;334;115;5882;2014
Ukraina;0;0;5;9;12;9;27;20;2;8;8;4;104;2014
Baltkrievija;;;;6;;5;7;9;5;;;3;35;2014
Somija;8;4;2;2;11;40;98;29;37;39;1;0;271;2014
Zviedrija;0;0;3;2;14;16;31;12;13;2;12;2;107;2014
Norvēģija;4;0;34;3;12;10;91;15;23;7;0;0;199;2014
Dānija/Islande;3;0;1;5;27;19;32;99;14;2;0;0;202;2014
Beļģija;0;0;0;1;5;10;70;20;12;3;1;0;122;2014
Nīderlande;2;1;0;1;45;33;140;105;38;5;0;6;376;2014
Francija;12;7;10;80;67;202;208;225;153;6;12;4;986;2014
Vācija;30;7;12;37;285;975;1093;1368;502;55;54;27;4445;2014
Polija;2;9;1;9;128;85;117;199;26;4;2;0;582;2014
Čehija;0;0;7;9;18;7;36;40;13;1;3;4;138;2014
Spānija;0;6;5;23;53;103;155;325;85;20;6;6;787;2014
Portugāle;0;1;0;0;5;36;6;14;2;1;0;0;65;2014
Itālija;3;7;11;39;30;70;31;318;17;4;21;1;552;2014
Grieķija;2;6;;3;;;;8;4;;2;;25;2014
Lielbritānija/īrija;7;8;18;26;53;106;91;169;59;33;22;2;594;2014
Austrija;2;1;0;3;7;23;48;43;43;7;1;0;178;2014
Šveice;0;0;0;4;18;45;81;43;9;3;0;0;203;2014
Slovākija;;;;;;4;3;13;;3;;;23;2014
Slovēnija;;;;;;3;8;5;1;;3;;20;2014
Rumānija;;;;;;5;8;5;1;4;;4;27;2014
Ungārija;12;;;;1;11;6;17;5;;2;;54;2014
Bulgārija;;;;;8;;7;;8;;;;23;2014
ASV;0;11;2;29;229;351;335;362;351;110;65;15;1860;2014
Kanāda;;;;;;;;;;;;;0;2014
Austrālija;3;3;4;2;18;61;84;62;32;10;0;2;281;2014
Jaunzēlande;;;;;;;;2;;;;;2;2014
Japāna;0;1;3;3;4;19;92;20;36;107;0;7;292;2014
Ķīna;;;2;;7;17;91;30;5;13;9;;174;2014
Indija;;;;;1;9;10;6;5;;2;;33;2014
Izraēla;0;0;2;3;;27;21;10;5;5;;0;73;2014
Turcija;0;2;0;14;3;47;74;114;59;31;;3;347;2014
Koreja;;;;;;6;;23;6;8;;;43;2014
Brazīlija;;;6;4;6;5;;7;8;3;;2;41;2014
Āzija;5;7;;9;;3;9;7;21;22;1;6;90;2014
Dienvidkoreja;;;;;18;;;;3;;1;;22;2014
Uzbekistāna;;;;;;;;;;;;;0;2014
Kazahstāna;;8;2;;;4;;10;;1;;;25;2014
Taizeme;;;;;2;;;;;;;;2;2014
Kirgīzija;;;;;;;;;;;;;0;2014
Gruzija;;16;;;1;;;;;;;4;21;2014
Armēnija;;;;;;;;6;13;12;;;31;2014
Ēģipte;;;;;;;;;;;;;0;2014
Maroka;;;;;;;;;;;;;0;2014
Lībija;;;;;;;;;;;;;0;2014
Argentīna;;;;;1;;;9;;4;;;14;2014
Indonēzija;;;;;;5;;4;;;;;9;2014
AAE;;;;;;2;;2;;;;;4;2014
Meksika;;;;;;3;8;;;;1;;12;2014
Moldāvija;;;;;;;;;;;;;0;2014
Malta;;4;;;;5;;;2;;;;11;2014
Horvātija;21;;;;;;;;;;;;21;2014
Maķedonija;;;;;;;;;;;;;0;2014
Honkonga;;;;;6;;19;;;3;;;28;2014
Taivāna;;;;;;;;6;2;7;;;15;2014
Tanzānija;;;;;;;;;;;;;0;2014
Panama;;;;;;;;;;;;;0;2014
Kipra;;;;;;;;;;;;;0;2014
Nigērija;;;;;;;;;;;;;0;2014
Lihtenšteina;;;;3;;;;;;;;;3;2014
Luksemburga;;;;;;;;6;;;;;6;2014
Gvatemala;;;;;;;;;;;;;0;2014
Azerbaidžāna;;;;;;3;;2;;6;;;11;2014
Urugvaja;;;;;;;;;;;;;0;2014
Šrilanka;;;;;;;;;;;;;0;2014
Gvatemala;;;;;;;;;;;;;0;2014
Ekvadora;;;;;;;;;;;;;0;2014
Peru;;;;;;;5;;;;;;5;2014
Katara;;;;;;;;;;;;;0;2014
Tunisija;;;;;;;;1;;;;;1;2014
Singapūra;;;;;12;;15;;;;;;27;2014
Sīrija;;;;;;;;;;;;;0;2014
Islande;;;;;2;;;;;10;;;12;2014
Filipīnas;;;;;;;;;;;;;0;2014
Jemena;;;;;3;;;;;;;;3;2014
Dienvidāfrika;;;;2;;8;;;2;;;;12;2014
Madagaskara;;;;;;6;;;;;;;6;2014
Malaizija;;;;;1;;;;8;;;;9;2014
Vjetnama;;;;;;;13;2;;;;;15;2014
Omāna;;;;;;;7;;;;;;7;2014
Venecuēla;;;;;;;;;;;;;0;2014
Kolumbija;1;;;;2;;5;;;;;;8;2014
Moldova;;;;;;;;;;4;;;4;2014
CITA valsts;0;;;;;7;60;53;13;2;9;13;157;2014
Cilvēku skaits kopā;2083;703;1385;1882;6227;6224;8332;9998;6199;4619;1959;789;50400;2014
LV Vidzeme;97;112;212;389;1422;879;1238;972;1059;1653;603;223;8859;2015
LV Latgale;7;3;5;63;573;83;222;181;356;212;43;28;1776;2015
LV Zemgale;12;0;40;11;331;230;242;145;207;329;44;22;1613;2015
LV Kurzeme;0;3;21;10;136;163;378;251;184;215;19;2;1382;2015
LV Cēsis;81;289;87;177;205;268;310;130;286;276;335;133;2577;2015
LV Rīga;228;319;513;577;1653;1094;1807;1260;2333;1775;442;212;12213;2015
Kopā Latvija;425;726;878;1227;4320;2717;4197;2939;4425;4460;1486;620;28420;2015
Igaunija;62;161;37;87;405;402;1197;830;245;294;245;15;3980;2015
